Season,Rookie_Age_Bin,n_players,player_share,poss,poss_share
2013,20,4,0.2,26280.0,0.23840843319937222
2013,21,7,0.35,35135.0,0.318739737460424
2013,22,7,0.35,36517.0,0.3312770454772251
2014,19,2,0.1,9419.0,0.10054547977668421
2014,20,2,0.1,8584.0,0.09163206268213794
2014,21,8,0.4,36642.0,0.39114422656091546
2014,22,8,0.4,39034.0,0.4166782309802624
2015,19,2,0.1,9870.0,0.0984028234731112
2015,20,6,0.3,31032.0,0.30938565532093076
2015,21,6,0.3,38760.0,0.3864329724232817
2015,22,6,0.3,20640.0,0.20577854878267632
2016,19,2,0.1,12600.0,0.10240738633592873
2016,20,10,0.5,73156.0,0.5945805360945399
2016,21,4,0.2,19890.0,0.16165737414457323
2016,22,4,0.2,17392.0,0.14135470342495815
2017,19,3,0.15,18981.0,0.2066949069486339
2017,20,5,0.25,20978.0,0.22844137600592393
2017,21,6,0.3,25013.0,0.2723807864446647
2017,22,6,0.3,26859.0,0.2924829306007775
2018,19,1,0.05,6867.0,0.04575468240906698
2018,20,10,0.5,69677.0,0.4642564447672288
2018,21,5,0.25,44672.0,0.29764863442228634
2018,22,4,0.2,28867.0,0.1923402384014179
2019,19,1,0.05,5940.0,0.04083961855521255
2019,20,9,0.45,76991.0,0.5293405845428232
2019,21,6,0.3,31563.0,0.21700688223201578
2019,22,4,0.2,30953.0,0.2128129146699485
2020,19,2,0.1,5925.0,0.05046805393480464
2020,20,9,0.45,60574.0,0.5159581264214104
2020,21,6,0.3,30806.0,0.2623998092009438
2020,22,3,0.15,20096.0,0.1711740104428412
2021,19,4,0.2,28794.0,0.24528703711591376
2021,20,11,0.55,58515.0,0.49847089591017896
2021,21,2,0.1,12512.0,0.10658579594340185
2021,22,3,0.15,17568.0,0.1496562710305054
2022,19,4,0.2,22560.0,0.17450360068378185
2022,20,7,0.35,55145.0,0.42655146541255096
2022,21,7,0.35,38501.0,0.2978086493761651
2022,22,2,0.1,13075.0,0.1011362845275021
2023,19,2,0.1,12563.0,0.09225696535315112
2023,20,8,0.4,51016.0,0.37463833037143657
2023,21,5,0.25,33332.0,0.2447750671934437
2023,22,5,0.25,39263.0,0.2883296370819687
2024,19,3,0.15,15977.0,0.13291128710235592
2024,20,10,0.5,55879.0,0.4648525888460003
2024,21,4,0.2,30107.0,0.25045754026354317
2024,22,3,0.15,18245.0,0.15177858378810063
