Window,Data_Type,Name,Off,Def,Rapm,Season,Possessions,Alpha
1997-98-99,Regular Season,Gary Payton,2.8238596912663327,-0.9849740086427383,3.8088336999090715,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Reggie Miller,3.3285477554652076,-0.3794194177351896,3.707967173200397,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Bo Outlaw,0.3485666733788757,-3.3395540732739057,3.6881207466527814,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Sam Cassell,4.112457793227826,0.447033871901992,3.665423921325834,1997-1998-1999,457650,4000
1997-98-99,Regular Season,David Robinson,1.1420673484477097,-2.4617212635595593,3.6037886120072695,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Mitch Richmond,2.2573711800216367,-1.2288358077179686,3.4862069877396054,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Bryon Russell,0.9224802080726374,-2.4968488236191506,3.419329031691788,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brevin Knight,1.246367709225951,-2.102910430881384,3.3492781401073355,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Charlie Ward,1.1709771550292831,-2.0523745042789634,3.2233516593082463,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Sam Perkins,2.9258025605351228,-0.2858916028645765,3.211694163399699,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Clyde Drexler,2.4793056987904043,-0.7198817912016996,3.1991874899921044,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Chris Webber,1.4240900948062276,-1.7633058764991796,3.1873959713054067,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Karl Malone,3.7939834266114962,0.7912429673279823,3.002740459283514,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Shawn Kemp,2.126642292153338,-0.8532020365737282,2.979844328727066,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jon Barry,1.4754268758367284,-1.4838261631389942,2.9592530389757226,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tyrone Hill,0.5408306626155185,-2.417654935209055,2.958485597824573,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Charles Barkley,4.912480552996746,2.0084491871680843,2.904031365828662,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Hakeem Olajuwon,-0.4074009162955808,-3.281287061195384,2.8738861448998034,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Darrell Armstrong,0.25879103348107624,-2.5884356742147197,2.8472267076957958,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Nick Anderson,1.599037606428852,-1.2395939349848435,2.8386315414136956,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Chris Mullin,3.0958862014000643,0.28236766145594255,2.813518539944122,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Hot Rod Williams,1.565341922701959,-1.2288793106885818,2.794221233390541,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Mark Jackson,1.7492448079937488,-1.0155911683490142,2.7648359763427632,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Steve Kerr,0.8067771873560382,-1.91066224451148,2.717439431867518,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Chris Mills,0.9261387966075691,-1.7125156178545975,2.6386544144621666,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Pervis Ellison,0.4978061588800163,-2.0539007003525835,2.5517068592326,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kendall Gill,1.4660886139718547,-1.0709491639980275,2.537037777969882,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jaren Jackson,-1.400598029318395,-3.9136508141487827,2.513052784830388,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tyrone Corbin,0.43768456695545116,-2.0105482117450504,2.4482327787005014,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Shawn Bradley,0.24497691469012187,-2.1784819560929543,2.423458870783076,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Rik Smits,2.6630238564336732,0.2565285689565757,2.4064952874770973,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Don Reid,0.8263592648133135,-1.5363876049730303,2.362746869786344,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Allen Iverson,3.9430333181880703,1.6086565799524892,2.3343767382355813,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Mario Elie,2.0284967361687887,-0.26660862819595954,2.2951053643647485,1997-1998-1999,457650,4000
1997-98-99,Regular Season,P.J. Brown,0.6659566780177858,-1.6009736249641142,2.2669303029819,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Derek Strong,0.38779036632744535,-1.8728571524773914,2.260647518804837,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Horace Grant,0.14976629049842455,-2.107946990993172,2.2577132814915966,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dale Davis,1.8705719632350384,-0.3762308450433084,2.2468028082783467,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jerome Kersey,-0.6867520305041752,-2.9276244985806597,2.2408724680764847,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Derek Anderson,-0.23990069878288817,-2.442571538365142,2.202670839582254,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Derek Fisher,0.848090177399027,-1.319575491778883,2.1676656691779104,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Larry Johnson,2.4116985489693232,0.25107093683851284,2.160627612130811,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Rod Strickland,3.1675235312972507,1.0445093662795457,2.123014165017705,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Terry Porter,0.8722076968815943,-1.2163643333547811,2.0885720302363757,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Michael Smith,2.762413380805303,0.7495858577456852,2.0128275230596175,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Haywoode Workman,1.0872446463138539,-0.8910994323965108,1.9783440787103646,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Darrick Martin,3.2282793450293528,1.250909578394428,1.9773697666349246,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Buck Williams,1.0301592287045584,-0.9457350264959585,1.975894255200517,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Popeye Jones,2.081108976234892,0.108333748205133,1.9727752280297592,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Voshon Lenard,2.283827919094425,0.3305251180040524,1.9533028010903726,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Clifford Robinson,2.0146783501724475,0.08360213950209053,1.9310762106703567,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Hersey Hawkins,0.9557889525016261,-0.9031699141389423,1.8589588666405685,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Greg Ostertag,0.6078838633218785,-1.2286950364876008,1.8365788998094792,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Nazr Mohammed,1.2049320783042783,-0.6033493700723799,1.808281448376658,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Glenn Robinson,1.950363484254326,0.1505449583893344,1.7998185258649915,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Anthony Miller,1.2269758787976492,-0.5428070366777815,1.7697829154754308,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Calbert Cheaney,1.6304631259515916,-0.12782236363170413,1.7582854895832958,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Theo Ratliff,0.8409642777279243,-0.9139988946144098,1.7549631723423338,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Keith Askins,0.18690658769900526,-1.5612817010600017,1.7481882887590068,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Bobby Phills,1.065747972524843,-0.6748349205143677,1.7405828930392109,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Avery Johnson,1.3430170573919962,-0.39606423076345165,1.7390812881554478,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Emanual Davis,0.8796362786164253,-0.7918860361694641,1.6715223147858893,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Drew Barry,1.1551041047506712,-0.5122878980247477,1.667392002775419,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Danny Manning,0.5249429110325533,-1.1083198106839918,1.6332627217165452,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Christian Laettner,2.641200214276189,1.0233735541658322,1.6178266601103566,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dennis Scott,0.9641935033298981,-0.6526059542809948,1.616799457610893,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Chris Dudley,-0.019561521408798632,-1.6274617992438523,1.6079002778350535,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Zydrunas Ilgauskas,0.6286092031095121,-0.9776727322086393,1.6062819353181514,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Greg Anthony,0.5637780502736014,-1.0403010420388132,1.6040790923124146,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Glen Rice,3.782935031503946,2.212914569734764,1.5700204617691818,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dennis Rodman,2.0098756270204663,0.4426063201057061,1.5672693069147603,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Reggie Geary,0.07029785317938228,-1.477486140025904,1.5477839932052861,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Aaron McKie,-1.5725444955612202,-3.1070689258546036,1.5345244302933836,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Charles Oakley,-0.06263192543908373,-1.572030285286151,1.5093983598470673,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jud Buechler,-1.146441157477216,-2.654103686911593,1.507662529434377,1997-1998-1999,457650,4000
1997-98-99,Regular Season,David Benoit,0.1492439788151115,-1.358065479911117,1.5073094587262283,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ray Allen,1.640301197296174,0.1527163322863969,1.4875848650097772,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Reggie Jordan,0.3054355000125516,-1.1535418612339936,1.458977361246545,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kevin Johnson,3.923008621427726,2.4647697582159838,1.4582388632117422,1997-1998-1999,457650,4000
1997-98-99,Regular Season,John Thomas,-0.3016866943384495,-1.7501774638709406,1.4484907695324911,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Robert Traylor,1.3901095452283285,-0.021225289933918746,1.4113348351622472,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Travis Best,-0.2773166390944785,-1.6551153718523837,1.377798732757905,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Steven Smith,2.7378975248631,1.4319451175052698,1.3059524073578304,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Terrell Brandon,2.7404131781656704,1.4676657834487197,1.272747394716951,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brian Grant,0.2899659817740568,-0.9536415857212113,1.2436075674952682,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Darvin Ham,-0.03485506302116472,-1.2412694576678052,1.2064143946466404,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kenny Anderson,1.4658583048388134,0.26235985829399117,1.2034984465448222,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Doug Christie,1.4286468413682958,0.23275587562434286,1.195890965743953,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Steve Nash,0.20199184848643456,-0.9805224720743091,1.1825143205607438,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Bill Curley,0.46892403411051303,-0.7067784754331248,1.1757025095436378,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dana Barros,0.04347236188434107,-1.1222101708702672,1.1656825327546083,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Vin Baker,2.682436430900339,1.5200895227719249,1.1623469081284143,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brad Miller,0.5583760971845286,-0.6008417912912992,1.159217888475828,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Johnny Taylor,0.9280328726076534,-0.21060716402837668,1.13864003663603,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Eric Snow,-1.256728863938078,-2.3847852830831338,1.1280564191450557,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Derrick Coleman,0.8186007889978508,-0.306526405456068,1.1251271944539187,1997-1998-1999,457650,4000
1997-98-99,Regular Season,George Lynch,-1.6622438751474666,-2.7832011129842797,1.120957237836813,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Will Perdue,1.6882577743437008,0.5842010384276589,1.104056735916042,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Joe Dumars,2.337888862072789,1.246817698918037,1.0910711631547518,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Michael Doleac,1.3281838143794267,0.23855889050643864,1.089624923872988,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Lucious Harris,-0.6719586983642003,-1.7602604707103744,1.088301772346174,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Anthony Mason,1.3586438627064066,0.2918613292810649,1.0667825334253416,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Bruce Bowen,-0.4565616210408694,-1.5051983444864903,1.0486367234456209,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Sherman Douglas,0.7896770084330812,-0.25694261693762105,1.0466196253707023,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tyus Edney,-0.7035131122623929,-1.7225573018790987,1.019044189616706,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Antonio Davis,-0.322588245074609,-1.3279310479110287,1.0053428028364195,1997-1998-1999,457650,4000
1997-98-99,Regular Season,John Starks,0.45960043287106783,-0.5315320324779904,0.9911324653490582,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ervin Johnson,0.660726987812308,-0.2689282461859055,0.9296552339982136,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dan Majerle,0.6942799493852998,-0.19806837978518185,0.8923483291704816,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Mitchell Butler,-1.181282808662251,-2.0588954671665443,0.8776126585042932,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jacque Vaughn,-0.4976554153110341,-1.367902673751951,0.870247258440917,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Vitaly Potapenko,-2.4871867939738648,-3.356806655043729,0.8696198610698647,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Travis Knight,0.21720748381791533,-0.6451376340807988,0.8623451178987142,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Matt Geiger,0.6336669876120323,-0.22140877698385245,0.8550757645958849,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kebu Stewart,0.39197520556344323,-0.4268241308385366,0.8187993364019798,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Anthony Peeler,0.7989119179206385,-0.017391279797436758,0.8163031977180752,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brent Barry,0.9823481684456603,0.178580659882351,0.8037675085633091,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Vincent Askew,-0.5023212155166665,-1.2818119210258687,0.7794907055092022,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Matt Maloney,1.582287811342617,0.81281363288769,0.7694741784549269,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jerome Williams,-0.5482416960030095,-1.2978844126238676,0.749642716620858,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Antawn Jamison,-1.3082893049645692,-2.0280429551325736,0.7197536501680045,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jerald Honeycutt,0.9027989492522065,0.1865808235951374,0.7162181256570691,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Scott Williams,-0.5494216560302242,-1.2620848457751672,0.712663189744943,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Stephen Howard,-0.010430692370602526,-0.7123344020599238,0.7019037096893213,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ricky Davis,-0.021079760490260554,-0.7201385190270202,0.6990587585367596,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ron Mercer,0.7968796066248338,0.1139420737822195,0.6829375328426144,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Rick Fox,2.055364743846123,1.4068141413732294,0.6485506024728934,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Scott Burrell,-2.098356226239472,-2.730622340819087,0.632266114579615,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Muggsy Bogues,-0.004643589194907196,-0.6318424514166239,0.6271988622217167,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Charles Jones,0.19673553328952298,-0.42961770637535857,0.6263532396648815,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Andrew DeClercq,0.1325551331652185,-0.4910900258041583,0.6236451589693768,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Keith Van Horn,0.6797907648872544,0.06880349564788724,0.6109872692393672,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Lindsey Hunter,1.1209568202280178,0.5182324317002682,0.6027243885277496,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jamie Feick,0.7034570710161517,0.1042452736978505,0.5992117973183012,1997-1998-1999,457650,4000
1997-98-99,Regular Season,J.R. Henderson,-0.37549055843698387,-0.9676957808029988,0.592205222366015,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Andrae Patterson,-0.03638633227784425,-0.6199425347954525,0.5835562025176082,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brian Evans,-0.7507547013389008,-1.3272728232202518,0.5765181218813511,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Horacio Llamas,-0.40657892426064857,-0.9389524755511716,0.532373551290523,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Stacey Augmon,-1.4815101924000786,-2.0103852517430574,0.5288750593429786,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Michael Dickerson,-0.22789048398084863,-0.7542991078948705,0.5264086239140219,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tom Gugliotta,1.3025789593184482,0.7994542114286659,0.5031247478897825,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Charles O'Bannon,0.22269926774041468,-0.27869345631556336,0.501392724055978,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Rick Mahorn,-0.6983573319310965,-1.1740762411175645,0.47571890918646786,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Nick Van Exel,3.4036697224629875,2.930176407696389,0.4734933147665984,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Grant Long,-1.7539056095001664,-2.225840111985749,0.47193450248558255,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Stanley Roberts,-1.9371298246064144,-2.4085309788293685,0.471401154222954,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Chris Childs,-0.5831687704110174,-1.0434553724297828,0.46028660201876553,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Terry Cummings,0.5335435645208692,0.07967914898071261,0.45386441554015655,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brian Oliver,0.4192924853516483,-0.03413582805390609,0.45342831340555434,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Michael Cage,-0.3487278454752413,-0.7980142364235242,0.44928639094828293,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Eric Piatkowski,0.46391926021496777,0.02058568613376989,0.4433335740811979,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Walter McCarty,-0.41138363346292534,-0.8389923265034476,0.42760869304052224,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Gerald Madkins,0.22707013938880719,-0.18965089793646614,0.4167210373252734,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Joe Smith,-0.0689073357611607,-0.4828152263036129,0.4139078905424522,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kevin Salvadori,-0.4358743168288449,-0.8380431018809735,0.40216878505212866,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jeff Nordgaard,0.19867306995935002,-0.19212952450376666,0.3908025944631167,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Thurl Bailey,-0.5697462161818958,-0.9497686997323298,0.38002248355043405,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Malik Sealy,-1.500453478226139,-1.880414207128315,0.37996072890217597,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Danny Ferry,1.1439927068441795,0.7777982652041019,0.36619444164007764,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Fred Hoiberg,-0.4475918194444892,-0.8065470192829425,0.3589551998384532,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Mark Macon,0.04574836480417489,-0.3093705123907114,0.3551188771948863,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Eric Murdock,-2.6223555960770524,-2.977151167218486,0.35479557114143356,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Walt Williams,0.7783209531959285,0.44299175467917296,0.33532919851675563,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Randy Livingston,-0.04975105670082681,-0.3816505945227526,0.33189953782192577,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Litterial Green,-0.0994035969831489,-0.4266594796263708,0.32725588264322186,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Marcus Brown,0.954419793591357,0.6315597193652723,0.32286007422608465,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kevin Ollie,-0.9632421687467461,-1.2845542339258333,0.3213120651790873,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jeff Grayer,0.47352655798602084,0.18025996290010055,0.2932665950859203,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Brent Price,1.041833162091887,0.7618207363778486,0.28001242571403845,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Rex Chapman,1.2876115392947725,1.0106864882964501,0.2769250509983223,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Kobe Bryant,0.35726422609682684,0.09520928109165779,0.2620549450051691,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Harvey Grant,-0.471036179186657,-0.7247168293437022,0.25368065015704516,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jason Lawson,0.16855535980573783,-0.07668539191464221,0.24524075172038004,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Corey Beck,-0.33977215636863606,-0.5826248104530581,0.24285265408442208,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Greg Graham,0.11858386929218065,-0.11102235766856715,0.2296062269607478,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dontonio Wingfield,0.49244109343345416,0.2641221285025551,0.2283189649308991,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Ledell Eackles,-1.2378146992831494,-1.463596641148316,0.22578194186516648,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Steve Henson,-0.06841520777734114,-0.29007687325291476,0.2216616654755736,1997-1998-1999,457650,4000
1997-98-99,Regular Season,J.R. Reid,-0.7482238049957713,-0.95056215779869,0.20233835280291865,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jamal Mashburn,-0.08710306486525322,-0.2779524956511404,0.19084943078588715,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Jason Caffey,-0.15052224980342213,-0.34020451331225376,0.1896822635088316,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Matt Bullard,2.0782575183706054,1.891031270932237,0.18722624743836813,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Vladimir Stepania,0.3639638325148077,0.1931482733759194,0.17081555913888827,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Lee Mayberry,0.6226444410369966,0.45760099699013584,0.1650434440468607,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Dontae' Jones,-0.28638002519084627,-0.44502606933787486,0.15864604414702863,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Michael Finley,-0.3289061274471706,-0.4839636107037785,0.15505748325660793,1997-1998-1999,457650,4000
1997-98-99,Regular Season,George McCloud,-0.46103659260345387,-0.6150146234063304,0.1539780308028765,1997-1998-1999,457650,4000
1997-98-99,Regular Season,Tracy McGrady,1.206852721246394,1.0590621595066285,0.14779056173976554,1997-1998-1999,457650,4000
